文本               章节数          阅读数               受欢迎程度      价格       是否浏览
红楼梦           1800             5亿                    强                     120              1
西游记           2500            10亿                  强                       66               1
三国演义        500              1亿                    强                       88               0
水浒传           3000             2亿                    强                       99               0
活着               100               1000万              中                       85              1
我的世界         900             1万                     弱                       20              0
在旷野里         600             5000                  弱                       78              0
十宗罪             750             100万                中                       54              1
嫌疑人X的献身 300            50万                  中                       88              1
影子                 780              10万                  弱                       15              0
